num_frames,fitness,loss
9225,-106.66847045425675,
9250,-106.66847045425675,
9275,-106.66847045425675,
9300,-106.66847045425675,
9325,-106.66847045425675,
9350,-106.66847045425675,
9375,-106.66847045425675,
9400,-103.86819866369478,
9425,-103.86819866369478,
9450,-103.86819866369478,
9475,-103.86819866369478,
9500,-103.86819866369478,
9525,-103.86819866369478,
9550,-103.86819866369478,
9575,-103.86819866369478,
9600,-103.86819866369478,
9625,-103.86819866369478,
9650,-103.86819866369478,
9675,-110.01341602136381,
9700,-110.01341602136381,
9725,-110.01341602136381,
9750,-110.01341602136381,
9775,-110.01341602136381,
9800,-110.01341602136381,
9825,-110.01341602136381,
9850,-110.01341602136381,
9875,-110.01341602136381,
9900,-110.01341602136381,
9925,-110.01341602136381,
9950,-110.01341602136381,
9975,-110.01341602136381,
10000,-110.01341602136381,
10025,-110.01341602136381,
10050,-110.01341602136381,
10075,-110.01341602136381,
10100,-110.01341602136381,
10125,-110.01341602136381,
10150,-110.01341602136381,
10175,-110.01341602136381,
10200,-110.01341602136381,
10225,-110.01341602136381,
10250,-110.01341602136381,
10275,-110.01341602136381,
10300,-110.01341602136381,
10325,-110.01341602136381,
10350,-110.01341602136381,
10375,-110.01341602136381,
10400,-110.01341602136381,
10425,-110.01341602136381,
10450,-110.01341602136381,
10475,-110.01341602136381,
10500,-110.01341602136381,
10525,-110.01341602136381,
10550,-110.01341602136381,
10575,-110.01341602136381,
10600,-110.01341602136381,
10625,-110.01341602136381,
10650,-110.01341602136381,
10675,-110.01341602136381,
10700,-110.01341602136381,
10725,-110.01341602136381,
10750,-110.01341602136381,
10775,-110.01341602136381,
10800,-110.01341602136381,
10825,-110.01341602136381,
10850,-110.01341602136381,
10875,-110.01341602136381,
10900,-110.01341602136381,
10925,-110.01341602136381,
10950,-110.01341602136381,
10975,-110.01341602136381,
11000,-110.01341602136381,
11025,-110.01341602136381,
11050,-110.01341602136381,
11075,-110.01341602136381,
11100,-110.01341602136381,
11125,-110.01341602136381,
11150,-110.01341602136381,
11175,-110.01341602136381,
11200,-110.01341602136381,
11225,-110.01341602136381,
11250,-110.01341602136381,
11275,-110.01341602136381,
11300,-110.01341602136381,
11325,-110.01341602136381,
11350,-110.01341602136381,
11375,-110.01341602136381,
11400,-110.01341602136381,
11425,-110.01341602136381,
11450,-110.01341602136381,
11475,-110.01341602136381,
11500,-110.01341602136381,
11525,-110.01341602136381,
11550,-110.01341602136381,
11575,-110.01341602136381,
11600,-110.01341602136381,
11625,-110.01341602136381,
11650,-110.01341602136381,
11675,-110.01341602136381,
11700,-110.01341602136381,
11725,-110.01341602136381,
11750,-110.01341602136381,
11775,-110.01341602136381,
11800,-110.01341602136381,
11825,-110.01341602136381,
11850,-110.01341602136381,
11875,-110.01341602136381,
11900,-110.01341602136381,
11925,-110.01341602136381,
11950,-110.01341602136381,
11975,-110.01341602136381,
12000,-110.01341602136381,
12025,-110.01341602136381,
12050,-110.01341602136381,
12075,-110.01341602136381,
12100,-110.01341602136381,
12125,-110.01341602136381,
12150,-110.01341602136381,
12175,-110.01341602136381,
12200,-110.01341602136381,
12225,-110.01341602136381,
12250,-110.01341602136381,
12275,-110.01341602136381,
12300,-110.01341602136381,
12325,-110.01341602136381,
12350,-110.01341602136381,
12375,-110.01341602136381,
12400,-110.01341602136381,
12425,-110.01341602136381,
12450,-110.01341602136381,
12475,-110.01341602136381,
12500,-110.01341602136381,
12525,-110.01341602136381,
12550,-110.01341602136381,
12575,-110.01341602136381,
12600,-110.01341602136381,
12625,-110.01341602136381,
12650,-110.01341602136381,
12675,-110.01341602136381,
